,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Mean
4-hydroxy-proline,0.7421052631578948,0.6842105263157895,0.7456140350877193,0.719298245614035,0.7666666666666666,0.6105263157894737,0.7105263157894737,0.7140350877192982,0.7280701754385965,0.7140350877192982,0.7135087719298246
(4-oxoproline),0.7228070175438598,0.7596491228070175,0.712280701754386,0.6807017543859648,0.6245614035087719,0.7228070175438598,0.6263157894736843,0.6614035087719298,0.6754385964912282,0.7052631578947368,0.6891228070175439
ergothioneine,0.7210526315789473,0.6842105263157895,0.6333333333333333,0.6526315789473683,0.6368421052631579,0.6631578947368422,0.6789473684210526,0.6684210526315789,0.531578947368421,0.6578947368421053,0.6528070175438596
asparagine,0.6368421052631579,0.6771929824561403,0.7385964912280703,0.612280701754386,0.6614035087719298,0.6385964912280702,0.5508771929824561,0.6666666666666666,0.6175438596491227,0.6333333333333333,0.6433333333333333
serine,0.6736842105263158,0.6385964912280702,0.5877192982456141,0.6736842105263158,0.5964912280701754,0.5754385964912281,0.6508771929824562,0.6929824561403508,0.6596491228070176,0.6736842105263158,0.642280701754386
pantothenate,0.6701754385964912,0.6491228070175438,0.612280701754386,0.6298245614035087,0.612280701754386,0.6315789473684211,0.6421052631578947,0.6684210526315789,0.5526315789473685,0.687719298245614,0.6356140350877192
"3',5'-cyclic-AMP",0.6684210526315789,0.7175438596491229,0.48245614035087714,0.7070175438596492,0.6684210526315789,0.6789473684210526,0.5912280701754385,0.6508771929824562,0.37543859649122807,0.6719298245614035,0.6212280701754386
(dehydroalanine),0.6192982456140351,0.5824561403508772,0.6421052631578947,0.6087719298245614,0.6315789473684211,0.5666666666666667,0.5877192982456141,0.6631578947368422,0.5701754385964912,0.6105263157894737,0.6082456140350877
urocanate,0.6175438596491227,0.5649122807017544,0.5631578947368421,0.5947368421052631,0.524561403508772,0.6280701754385966,0.5947368421052631,0.6280701754385966,0.5824561403508772,0.6701754385964912,0.5968421052631578
glutamate,0.6859649122807018,0.6526315789473683,0.6807017543859648,0.543859649122807,0.5280701754385965,0.5982456140350877,0.5736842105263157,0.5877192982456141,0.4245614035087719,0.6701754385964912,0.5945614035087718
xanthine,0.5684210526315789,0.5789473684210525,0.6052631578947367,0.5421052631578946,0.5771929824561403,0.556140350877193,0.5789473684210525,0.5912280701754385,0.5421052631578946,0.6245614035087719,0.5764912280701755
(3-methyladenine),0.5701754385964912,0.5824561403508772,0.4964912280701754,0.5859649122807017,0.5701754385964912,0.524561403508772,0.6105263157894737,0.6192982456140351,0.5596491228070175,0.5982456140350877,0.5717543859649122
aminoadipic acid,0.6052631578947367,0.5912280701754385,0.6052631578947367,0.5754385964912281,0.5298245614035089,0.6070175438596491,0.4929824561403509,0.5578947368421052,0.556140350877193,0.5631578947368421,0.568421052631579
aspartate,0.612280701754386,0.5403508771929825,0.5754385964912281,0.5789473684210525,0.5824561403508772,0.5175438596491229,0.5526315789473685,0.5701754385964912,0.5684210526315789,0.5666666666666667,0.5664912280701755
(glycero-3-phosphoethanolamine),0.5684210526315789,0.5403508771929825,0.6157894736842106,0.519298245614035,0.6140350877192983,0.5736842105263157,0.5789473684210525,0.5,0.49473684210526314,0.4982456140350877,0.5503508771929824
"(2,3-dihydroxy-3-methylbutanoate)",0.5912280701754385,0.6035087719298246,0.5421052631578946,0.49473684210526314,0.5228070175438596,0.5859649122807017,0.46315789473684205,0.5894736842105263,0.45789473684210524,0.6017543859649123,0.5452631578947368
adenosine,0.5543859649122806,0.5368421052631579,0.5368421052631579,0.5017543859649122,0.524561403508772,0.49473684210526314,0.5508771929824561,0.5368421052631579,0.4842105263157894,0.5157894736842105,0.5236842105263158
fumarate,0.5035087719298245,0.4964912280701754,0.4333333333333333,0.5596491228070175,0.4666666666666667,0.4719298245614035,0.4807017543859649,0.4807017543859649,0.5210526315789473,0.4982456140350877,0.4912280701754385
glutamine,0.5210526315789473,0.512280701754386,0.5684210526315789,0.42280701754385963,0.42280701754385963,0.5824561403508772,0.5508771929824561,0.5087719298245614,0.3140350877192983,0.48947368421052634,0.489298245614035
lactate,0.4982456140350877,0.5070175438596491,0.6736842105263158,0.5298245614035089,0.4736842105263158,0.4403508771929824,0.39473684210526316,0.543859649122807,0.343859649122807,0.4,0.4805263157894738
monosaccharide (glucose),0.556140350877193,0.4526315789473684,0.32105263157894737,0.5368421052631579,0.5052631578947369,0.4789473684210526,0.5280701754385965,0.44912280701754387,0.38245614035087716,0.4982456140350877,0.47087719298245617
thymine,0.5087719298245614,0.47543859649122805,0.5175438596491229,0.45789473684210524,0.3596491228070175,0.3701754385964912,0.431578947368421,0.5052631578947369,0.46842105263157896,0.46140350877192987,0.4556140350877194
biotin,0.5491228070175439,0.45438596491228067,0.4964912280701754,0.39824561403508774,0.3473684210526316,0.30877192982456136,0.48245614035087714,0.48245614035087714,0.4263157894736842,0.5052631578947369,0.4450877192982456
xylitol,0.45614035087719296,0.4245614035087719,0.31228070175438594,0.4666666666666667,0.46140350877192987,0.443859649122807,0.37894736842105264,0.487719298245614,0.41052631578947374,0.5526315789473685,0.4394736842105262
(queuine),0.46315789473684205,0.3649122807017544,0.36315789473684207,0.36315789473684207,0.4403508771929824,0.356140350877193,0.48947368421052634,0.45614035087719296,0.5473684210526315,0.4508771929824561,0.42947368421052634
adenine,0.5385964912280702,0.3543859649122807,0.2456140350877193,0.4298245614035088,0.45964912280701753,0.40175438596491225,0.2982456140350877,0.48947368421052634,0.556140350877193,0.4350877192982456,0.4208771929824562
inosine,0.5473684210526315,0.3701754385964912,0.3578947368421052,0.4929824561403509,0.38596491228070173,0.4140350877192982,0.48947368421052634,0.5333333333333333,0.20526315789473687,0.34210526315789475,0.41385964912280704
hypoxanthine,0.4508771929824561,0.4473684210526316,0.4140350877192982,0.37894736842105264,0.3140350877192983,0.368421052631579,0.4789473684210526,0.38947368421052625,0.419298245614035,0.37543859649122807,0.40368421052631576
citrulline,0.41754385964912283,0.39122807017543854,0.34912280701754383,0.4964912280701754,0.4789473684210526,0.243859649122807,0.4122807017543859,0.38421052631578945,0.36315789473684207,0.4912280701754386,0.40280701754385967
threonine,0.443859649122807,0.27017543859649124,0.368421052631579,0.4508771929824561,0.4140350877192982,0.37719298245614036,0.32631578947368417,0.3578947368421052,0.29298245614035084,0.49473684210526314,0.37964912280701746
7-methyladenine,0.4,0.39473684210526316,0.3526315789473684,0.32105263157894737,0.25263157894736843,0.38070175438596493,0.4964912280701754,0.2789473684210526,0.27543859649122804,0.5157894736842105,0.3668421052631579
stachyose,0.4456140350877193,0.431578947368421,0.47017543859649114,0.4070175438596491,0.28596491228070176,0.34912280701754383,0.3578947368421052,0.26842105263157895,0.2368421052631579,0.3596491228070175,0.36122807017543856
2-oxoglutarate,0.38596491228070173,0.3666666666666667,0.24736842105263157,0.3596491228070175,0.38245614035087716,0.32105263157894737,0.4508771929824561,0.343859649122807,0.2912280701754386,0.4140350877192982,0.35631578947368414
tryptophan,0.3666666666666667,0.3315789473684211,0.2912280701754386,0.25789473684210523,0.31052631578947365,0.42105263157894735,0.47719298245614034,0.36315789473684207,0.32807017543859646,0.38947368421052625,0.35368421052631577
2-aminobutanoate,0.38421052631578945,0.23859649122807017,0.368421052631579,0.3175438596491228,0.30701754385964913,0.4070175438596491,0.4,0.3736842105263158,0.23859649122807017,0.40350877192982454,0.34385964912280703
nicotinamide,0.36315789473684207,0.27543859649122804,0.21403508771929824,0.46140350877192987,0.4666666666666667,0.22280701754385965,0.2614035087719298,0.38596491228070173,0.30350877192982456,0.4456140350877193,0.33999999999999997
arginine,0.3456140350877193,0.3508771929824562,0.4842105263157894,0.22982456140350876,0.20526315789473687,0.4333333333333333,0.512280701754386,0.38070175438596493,0.2824561403508772,0.14035087719298248,0.3364912280701754
guanine,0.4333333333333333,0.40350877192982454,0.13333333333333333,0.38947368421052625,0.26666666666666666,0.3298245614035088,0.3508771929824562,0.3578947368421052,0.22456140350877193,0.46315789473684205,0.3352631578947368
2'-deoxyuridine,0.41052631578947374,0.2631578947368421,-0.03508771929824562,0.4403508771929824,0.2789473684210526,0.41754385964912283,0.3578947368421052,0.4280701754385965,0.3350877192982456,0.38245614035087716,0.32789473684210524
(indoleacrylate),0.32280701754385965,0.2912280701754386,0.2456140350877193,0.2631578947368421,0.2824561403508772,0.3473684210526316,0.4473684210526316,0.3368421052631579,0.32105263157894737,0.3578947368421052,0.321578947368421
uracil,0.27017543859649124,0.22807017543859648,0.3473684210526316,0.39649122807017545,0.28771929824561404,0.21929824561403505,0.28596491228070176,0.3614035087719299,0.368421052631579,0.38596491228070173,0.31508771929824564
guanosine,0.3403508771929824,0.30350877192982456,0.2789473684210526,0.30701754385964913,0.2824561403508772,0.2771929824561403,0.3298245614035088,0.31228070175438594,0.31578947368421056,0.3508771929824562,0.3098245614035088
alanine,0.3368421052631579,0.23859649122807017,0.1824561403508772,0.37719298245614036,0.3614035087719299,0.23157894736842102,0.30701754385964913,0.22807017543859648,0.30000000000000004,0.43684210526315786,0.3
4-guanidinobutanoate,0.28421052631578947,0.28596491228070176,0.34912280701754383,0.30526315789473685,0.21052631578947367,0.2368421052631579,0.3315789473684211,0.3333333333333333,0.2,0.40350877192982454,0.29403508771929826
succinate,0.2719298245614035,0.32631578947368417,0.13859649122807016,0.32105263157894737,0.3315789473684211,0.3315789473684211,0.26842105263157895,0.24912280701754386,0.39824561403508774,0.28771929824561404,0.2924561403508772
(3-hydroxypyridine),0.3473684210526316,0.22982456140350876,0.36315789473684207,0.32280701754385965,0.13508771929824562,0.37543859649122807,0.4280701754385965,0.2982456140350877,0.057894736842105256,0.3175438596491228,0.28754385964912277
N-acetyl-glutamate,0.2824561403508772,0.25789473684210523,0.3508771929824562,0.3736842105263158,0.28421052631578947,0.4245614035087719,0.13508771929824562,0.18947368421052632,0.3403508771929824,0.18771929824561404,0.28263157894736846
lysine,0.3368421052631579,0.28596491228070176,0.07894736842105264,0.2368421052631579,0.38421052631578945,0.356140350877193,0.47719298245614034,0.3245614035087719,0.04912280701754386,0.24912280701754386,0.2778947368421053
myristate,0.2368421052631579,0.16666666666666666,0.243859649122807,0.20526315789473687,0.29298245614035084,0.21929824561403505,0.3315789473684211,0.29298245614035084,0.4403508771929824,0.31052631578947365,0.27403508771929824
pyridoxine,0.3017543859649123,0.19298245614035087,0.256140350877193,0.256140350877193,0.23333333333333334,0.2596491228070175,0.3649122807017544,0.2,0.20526315789473687,0.4385964912280701,0.27087719298245616
nicotinate,0.23508771929824557,0.22807017543859648,0.19649122807017544,0.26842105263157895,0.243859649122807,0.28421052631578947,0.2824561403508772,0.20350877192982456,0.3298245614035088,0.3385964912280702,0.26105263157894737
decanoate,0.22982456140350876,0.16666666666666666,0.20350877192982456,0.2,0.30000000000000004,0.18070175438596495,0.3175438596491228,0.24912280701754386,0.46315789473684205,0.28421052631578947,0.25947368421052636
palmitate,0.22807017543859648,0.12456140350877193,0.2210526315789474,0.19298245614035087,0.28771929824561404,0.19824561403508772,0.31578947368421056,0.2543859649122807,0.42280701754385963,0.27368421052631575,0.2519298245614035
stearate,0.22982456140350876,0.09824561403508772,0.2210526315789474,0.1842105263157895,0.2771929824561403,0.20877192982456141,0.3175438596491228,0.25263157894736843,0.41052631578947374,0.2824561403508772,0.24824561403508766
cytidine,0.30701754385964913,0.19649122807017544,0.36315789473684207,0.18771929824561404,0.19473684210526312,0.2,0.19473684210526312,0.31578947368421056,0.21929824561403505,0.26491228070175443,0.24438596491228068
phenylalanine,0.28947368421052627,0.12982456140350876,0.1087719298245614,0.2631578947368421,0.3140350877192983,0.1736842105263158,0.2596491228070175,0.20526315789473687,0.38070175438596493,0.25263157894736843,0.23771929824561405
(lipoate),0.25789473684210523,0.2596491228070175,0.2456140350877193,0.21228070175438596,0.18596491228070175,0.1824561403508772,0.2789473684210526,0.29298245614035084,0.20350877192982456,0.2543859649122807,0.2373684210526316
(leucyl-leucine),0.22280701754385965,0.19824561403508772,0.23508771929824557,0.3368421052631579,0.27543859649122804,0.4,0.10175438596491228,0.13508771929824562,0.19473684210526312,0.19824561403508772,0.22982456140350876
disaccharide (maltose),0.3350877192982456,0.22982456140350876,0.26666666666666666,0.12456140350877193,0.12982456140350876,0.15438596491228068,0.43684210526315786,0.2157894736842105,-0.0543859649122807,0.29298245614035084,0.21315789473684207
laurate,0.1754385964912281,0.07894736842105264,0.1701754385964912,0.1280701754385965,0.26491228070175443,0.0912280701754386,0.2614035087719298,0.2070175438596491,0.40175438596491225,0.23157894736842102,0.20105263157894732
salicylate,0.15263157894736842,0.11403508771929824,0.13859649122807016,0.11403508771929824,0.1736842105263158,0.23157894736842102,0.39473684210526316,0.12280701754385966,0.28421052631578947,0.28421052631578947,0.20105263157894732
valine,0.19473684210526312,0.12982456140350876,0.15964912280701754,0.30000000000000004,0.243859649122807,0.19298245614035087,0.008771929824561405,0.22982456140350876,0.22456140350877193,0.25263157894736843,0.19368421052631582
tyrosine,0.3175438596491228,0.14912280701754385,-0.021052631578947368,0.13859649122807016,0.20175438596491227,0.15087719298245614,0.30350877192982456,0.2,0.28070175438596495,0.21052631578947367,0.1931578947368421
uridine,0.25263157894736843,0.12456140350877193,0.18771929824561404,0.1701754385964912,0.15438596491228068,0.15087719298245614,0.22456140350877193,0.21228070175438596,0.10526315789473684,0.2421052631578947,0.18245614035087718
(alanyl-leucine),0.1719298245614035,0.11754385964912278,0.2456140350877193,0.46842105263157896,0.21403508771929824,0.15964912280701754,-0.2543859649122807,0.30701754385964913,0.08771929824561404,0.19122807017543858,0.17087719298245613
raffinose,0.20175438596491227,0.15087719298245614,0.11929824561403508,0.1719298245614035,0.16140350877192983,0.13508771929824562,0.31228070175438594,0.11578947368421051,0.03859649122807017,0.13859649122807016,0.1545614035087719
creatinine,0.16140350877192983,0.0035087719298245615,0.24035087719298245,0.12456140350877193,0.13859649122807016,0.08771929824561404,0.2543859649122807,0.12280701754385966,0.22280701754385965,0.14035087719298248,0.14964912280701753
taurine,0.07894736842105264,0.03684210526315789,0.08771929824561404,0.02280701754385965,0.03684210526315789,0.056140350877192984,0.29298245614035084,-0.07017543859649124,0.07017543859649124,0.26666666666666666,0.08789473684210528
pyroglutamate,0.1736842105263158,0.16842105263157894,-0.2,0.15789473684210528,0.21052631578947367,0.16315789473684209,-0.031578947368421054,-0.015789473684210527,-0.0824561403508772,-0.04035087719298246,0.050350877192982445
"(2,5-diaminohexanoate)",0.012280701754385965,-0.06491228070175438,0.18771929824561404,-0.014035087719298246,-0.0543859649122807,0.021052631578947368,0.10701754385964912,-0.09824561403508772,0.1754385964912281,0.13333333333333333,0.04052631578947369
"(5,6-dihydrothymine)",0.028070175438596492,-0.1105263157894737,0.23157894736842102,-0.12105263157894736,-0.028070175438596492,0.15087719298245614,-0.08771929824561404,-0.021052631578947368,0.2789473684210526,0.04736842105263158,0.036842105263157884
betaine,0.18947368421052632,0.04736842105263158,-0.007017543859649123,-0.021052631578947368,0.10350877192982455,-0.03859649122807017,0.18947368421052632,-0.14736842105263157,-0.05263157894736842,0.0543859649122807,0.03175438596491228
leucine,0.015789473684210527,-0.10350877192982455,-0.1701754385964912,-0.05263157894736842,-0.07543859649122807,0.09473684210526316,0.10350877192982455,0.056140350877192984,0.256140350877193,-0.005263157894736842,0.011929824561403514
carnitine,0.0543859649122807,0.02631578947368421,-0.21403508771929824,0.010526315789473684,0.03508771929824562,-0.05087719298245614,0.04385964912280702,-0.056140350877192984,0.1456140350877193,-0.14210526315789473,-0.014736842105263156
proline,0.08070175438596491,-0.06666666666666667,-0.04385964912280702,-0.07017543859649124,-0.23859649122807017,-0.03859649122807017,0.10175438596491228,0.0,-0.07017543859649124,-0.031578947368421054,-0.037719298245614034
oleate,0.012280701754385965,-0.19649122807017544,0.0456140350877193,-0.18947368421052632,-0.08421052631578947,-0.07017543859649124,0.008771929824561405,-0.14912280701754385,0.03859649122807017,0.06666666666666667,-0.051754385964912275
urate,-0.13157894736842105,-0.08596491228070174,-0.019298245614035085,-0.1701754385964912,-0.07017543859649124,-0.04035087719298246,-0.12631578947368421,-0.15614035087719297,-0.07368421052631578,0.03508771929824562,-0.08385964912280702
2'-deoxyguanosine,-0.08070175438596491,-0.031578947368421054,-0.32280701754385965,-0.06491228070175438,-0.056140350877192984,-0.03508771929824562,-0.06315789473684211,-0.10526315789473684,-0.021052631578947368,-0.14210526315789473,-0.09228070175438595
N-acetylornithine,0.05964912280701754,0.02982456140350877,-0.3456140350877193,-0.02280701754385965,-0.2964912280701754,-0.2175438596491228,0.08771929824561404,-0.1456140350877193,-0.14210526315789473,-0.1,-0.10929824561403509
cytosine,-0.16842105263157894,-0.13157894736842105,-0.19298245614035087,-0.06140350877192983,-0.19649122807017544,-0.25263157894736843,0.12456140350877193,-0.09473684210526316,-0.18596491228070175,-0.12105263157894736,-0.1280701754385965
isoleucine,-0.042105263157894736,-0.20877192982456141,-0.21052631578947367,-0.3192982456140351,-0.30000000000000004,-0.14736842105263157,0.057894736842105256,-0.1719298245614035,0.07368421052631578,-0.014035087719298246,-0.12824561403508772
(N6-acetyl-lysine),-0.0035087719298245615,-0.2456140350877193,-0.15087719298245614,-0.21929824561403505,-0.1736842105263158,-0.2964912280701754,0.042105263157894736,-0.22280701754385965,-0.4052631578947368,-0.09473684210526316,-0.17701754385964913
palmitoleate,-0.19122807017543858,-0.21403508771929824,-0.02280701754385965,-0.32105263157894737,-0.15087719298245614,-0.15789473684210528,-0.30350877192982456,-0.27017543859649124,0.05263157894736842,-0.22982456140350876,-0.18087719298245614
methionine,-0.28596491228070176,-0.3368421052631579,-0.32807017543859646,-0.23333333333333334,-0.3017543859649123,0.02456140350877193,-0.28947368421052627,-0.25789473684210523,0.14210526315789473,-0.22456140350877193,-0.20912280701754385
thymidine,-0.37543859649122807,-0.37719298245614036,-0.15263157894736842,-0.2456140350877193,-0.3526315789473684,-0.38596491228070173,-0.28596491228070176,-0.3578947368421052,-0.2964912280701754,-0.18070175438596495,-0.3010526315789473
